,summary,Energiewende,Verkehrswende,Geo_Engineering,Oekologie,Tipping_Points,Klimawandel,Landwirtschaft,Gesundheit,Wasserversorgung,Waermewende,Industrie,Klimaextreme,Urbane_Hitzeinsel,word
Gründer,6.181961541649361,0.3651228466298722,0.0,0.0,-0.6564095728661231,-0.6116420271711237,-0.7506492879741755,-0.6592256920805865,-0.6583699920624398,-0.6565553243565898,-0.3985369417636756,-0.6715955099526796,-0.6570031564074484,0.0,Gründer
sprech+t gründer,6.181961541649361,0.3651228466298722,0.0,0.0,-0.6564095728661231,-0.6116420271711237,-0.7506492879741755,-0.6592256920805865,-0.6583699920624398,-0.6565553243565898,-0.3985369417636756,-0.6715955099526796,-0.6570031564074484,0.0,sprech+t gründer
gründer jochen,5.86747445833388,0.34726110009115524,0.0,0.0,-0.6041982458551705,-0.5594307001601709,-0.698437960963223,-0.6070143650696338,-0.6061586650514872,-0.6043439973456372,-0.34632561475272305,-0.6193841829417269,-0.6047918293964958,0.0,gründer jochen
Schwill,7.043178884734982,0.4047157771578551,0.0,0.0,-0.7868335645771635,-0.7420660188821638,-0.8810732796852156,-0.7896496837916266,-0.78879398377348,-0.7869793160676299,-0.5289609334747158,-0.8020195016637197,-0.7874271481184885,0.0,Schwill
jochen schwell,7.043178884734982,0.4047157771578551,0.0,0.0,-0.7868335645771635,-0.7420660188821638,-0.8810732796852156,-0.7896496837916266,-0.78879398377348,-0.7869793160676299,-0.5289609334747158,-0.8020195016637197,-0.7874271481184885,0.0,jochen schwell
Strommarkt,5.260542641863957,0.3055288600843826,0.0,0.0,-0.49500813547741535,-0.45024058978241577,-0.5892478505854677,-0.4978242546918787,-0.49696855467373185,-0.49515388696788176,-0.23713550437496786,-0.5101940725639716,-0.49560171901874045,0.0,Strommarkt
schwell strom+markt,5.260542641863957,0.3055288600843826,0.0,0.0,-0.49500813547741535,-0.45024058978241577,-0.5892478505854677,-0.4978242546918787,-0.49696855467373185,-0.49515388696788176,-0.23713550437496786,-0.5101940725639716,-0.49560171901874045,0.0,schwell strom+markt
strom+markt zukunft,5.015239362622294,0.28517245512141964,0.0,0.0,-0.4472550998076977,-0.4024875541126981,-0.5414948149157499,-0.450071219022161,-0.4492155190040142,-0.44740085129816426,-0.1893824687052501,-0.4624410368942539,-0.4478486833490228,0.0,strom+markt zukunft
intelligente,4.8960919598803345,0.2743821905913699,0.0,0.0,-0.4232112778852881,-0.3784437321902884,-0.5174509929933403,-0.4260273970997514,-0.4251716970816046,-0.4233570293757546,-0.1653386467828405,-0.4383972149718444,-0.42380486142661317,0.0,intelligente
zukunft intelligent+e,4.8960919598803345,0.2743821905913699,0.0,0.0,-0.4232112778852881,-0.3784437321902884,-0.5174509929933403,-0.4260273970997514,-0.4251716970816046,-0.4233570293757546,-0.1653386467828405,-0.4383972149718444,-0.42380486142661317,0.0,zukunft intelligent+e
Energiesteuerung,4.7503433086850775,0.26027228094019716,0.0,0.0,-0.3929908411438065,-0.3482232954488069,-0.48723055625185885,-0.39580696035826984,-0.39495126034012307,-0.39313659263427325,-0.13511821004135896,-0.4081767782303628,-0.3935844246851318,0.0,Energiesteuerung
intelligent+e energie+steuerung,4.7503433086850775,0.26027228094019716,0.0,0.0,-0.3929908411438065,-0.3482232954488069,-0.48723055625185885,-0.39580696035826984,-0.39495126034012307,-0.39313659263427325,-0.13511821004135896,-0.4081767782303628,-0.3935844246851318,0.0,intelligent+e energie+steuerung
Reiz,4.531201819050471,0.23691566378579562,0.0,0.0,-0.3457611567235372,-0.3009936110285377,-0.44000087183158954,-0.34857727593800053,-0.3477215759198537,-0.3459069082140037,-0.08788852562108962,-0.36094709381009354,-0.34635474026486224,0.0,Reiz
energie+steuerung reiz,4.531201819050471,0.23691566378579562,0.0,0.0,-0.3457611567235372,-0.3009936110285377,-0.44000087183158954,-0.34857727593800053,-0.3477215759198537,-0.3459069082140037,-0.08788852562108962,-0.36094709381009354,-0.34635474026486224,0.0,energie+steuerung reiz
reiz erneut,4.487383595394528,0.2319009971838947,0.0,0.0,-0.33604376392936214,-0.29127621823436256,-0.43028347903741443,-0.3388598831438255,-0.33800418312567865,-0.3361895154198286,-0.07817113282691454,-0.3512297010159185,-0.33663734747068724,0.0,reiz erneut
Startup,6.09073077248358,0.36016323217968593,0.0,0.0,-0.6415420202009862,-0.5967744745059863,-0.7357817353090383,-0.6443581394154492,-0.6435024393973026,-0.6416877716914527,-0.3836693890985386,-0.6567279572875424,-0.6421356037423112,0.0,Startup
erneut startup,4.413803056187165,0.2231967981020046,0.0,0.0,-0.3195106390443633,-0.2747430933493637,-0.4137503541524155,-0.3223267582588266,-0.32147105824067973,-0.3196563905348298,-0.06163800794191574,-0.33469657613091947,-0.3201042225856884,0.0,erneut startup
aufzubauen,4.3650565716251055,0.21722506990013787,0.0,0.0,-0.3084050996846053,-0.2636375539896057,-0.40264481479265757,-0.31122121889906873,-0.3103655188809219,-0.3085508511750719,-0.050532468582157826,-0.32359103677116174,-0.3089986832259303,0.0,aufzubauen
startup auf+zu+bau+en,4.3650565716251055,0.21722506990013787,0.0,0.0,-0.3084050996846053,-0.2636375539896057,-0.40264481479265757,-0.31122121889906873,-0.3103655188809219,-0.3085508511750719,-0.050532468582157826,-0.32359103677116174,-0.3089986832259303,0.0,startup auf+zu+bau+en
Kölner,4.2775811086413675,0.2060725099633171,0.0,0.0,-0.28816163849369586,-0.24339409279869625,-0.38240135360174804,-0.2909777577081592,-0.29012205769001237,-0.2883073899841624,-0.030289007391248332,-0.3033475755802522,-0.288755222035021,0.0,Kölner
der kölner,4.2775811086413675,0.2060725099633171,0.0,0.0,-0.28816163849369586,-0.24339409279869625,-0.38240135360174804,-0.2909777577081592,-0.29012205769001237,-0.2883073899841624,-0.030289007391248332,-0.3033475755802522,-0.288755222035021,0.0,der kölner
kölner startup,4.242912080209742,0.20148924787873632,0.0,0.0,-0.2800237950634536,-0.23525624936845407,-0.37426351017150594,-0.28283991427791694,-0.2819842142597704,-0.2801695465539203,-0.022151163961006123,-0.29520973215001,-0.2806173786047788,0.0,kölner startup
startup spotmyenergy,4.205609222636531,0.19644920705729257,0.0,0.0,-0.27119311365897286,-0.22642556796397337,-0.3654328287670252,-0.27400923287343615,-0.2731535328552894,-0.2713388651494395,-0.013320482556525357,-0.2863790507455292,-0.27178669720029797,0.0,startup spotmyenergy
2023,4.129520049405711,0.18580327117928866,0.0,0.0,-0.25293513961865266,-0.20816759392365308,-0.3471748547267049,-0.2557512588331159,-0.25489555881496917,-0.2530808911091192,0.004937491483794882,-0.268121076705209,-0.2535287231599779,0.0,2023
spotmyenergy 2023,4.129520049405711,0.18580327117928866,0.0,0.0,-0.25293513961865266,-0.20816759392365308,-0.3471748547267049,-0.2557512588331159,-0.25489555881496917,-0.2530808911091192,0.004937491483794882,-0.268121076705209,-0.2535287231599779,0.0,spotmyenergy 2023
Next,4.094998623320774,0.1808038028646872,0.0,0.0,-0.2445403313159308,-0.19977278562093131,-0.3387800464239832,-0.24735645053039426,-0.2465007505122475,-0.2446860828063975,0.013332299786516668,-0.2597262684024873,-0.24513391485725608,0.0,Next
2023 next,4.094998623320774,0.1808038028646872,0.0,0.0,-0.2445403313159308,-0.19977278562093131,-0.3387800464239832,-0.24735645053039426,-0.2465007505122475,-0.2446860828063975,0.013332299786516668,-0.2597262684024873,-0.24513391485725608,0.0,2023 next
Kraftwerke-Gründer,4.076713294015337,0.1781110409558379,0.0,0.0,-0.2400650487781108,-0.1952975030831111,-0.33430476388616304,-0.24288116799257414,-0.24202546797442728,-0.24021080026857744,0.017807582324336674,-0.2552509858646671,-0.24065863231943596,0.0,Kraftwerke-Gründer
next kraftwerke-gründ+er,4.076713294015337,0.1781110409558379,0.0,0.0,-0.2400650487781108,-0.1952975030831111,-0.33430476388616304,-0.24288116799257414,-0.24202546797442728,-0.24021080026857744,0.017807582324336674,-0.2552509858646671,-0.24065863231943596,0.0,next kraftwerke-gründ+er
kraftwerke-gründ+er jochen,4.012382910963739,0.16838226019092195,0.0,0.0,-0.2241592571584893,-0.17939171146348976,-0.3183989722665416,-0.22697537637295276,-0.22611967635480584,-0.22430500864895603,0.03371337394395819,-0.23934519424504566,-0.22475284069981452,0.0,kraftwerke-gründ+er jochen
gegründet,3.9666261754626313,0.16120998395783812,0.0,0.0,-0.21268985372706758,-0.1679223080320682,-0.3069295688351201,-0.215505972941531,-0.21465027292338426,-0.21283560521753422,0.04518277737537987,-0.2278757908136241,-0.21328343726839286,0.0,gegründet
